Names,Height
Angel Gabriel Chabla,63.0
Jeffrey Celis,69.0
Edwin Fierros Gaytan,68.0
Prabodh KC,72.0
Ethan Sherpa,71.0
David Reyes Galvez,67.0
Antonio Oliveira-Nurse,75.0
Tenzin  Tsepak,72.0
Mohamed  Elshary,74.0
Ricky  Li,72.0
Cristian  Canela,72.0
Soterios  Homenides,74.0
Ray Rodriguez,67.0
Andrew Figueroa,71.0
Miguel Gonzalez,67.0
Christopher Gil,70.0
Chris  Mata,63.0
Emmanuel Oladosu,70.0
Jimmy Evans,67.0
Alain Abreu Esteva,72.0
Neithan Pilay,70.0
Christian Agudo,67.0
Wai  Lin,65.0
Jaden  McBryde,72.0
David Lema,68.0
Andres Vargas,72.0
Aziz Abdusamiev,75.0
"Fidel  Maldonado, Jr. ",73.0
Tommy Min,69.0
Yinuo Zhang,74.0
Armand  Kaloshi,76.0
Jason Lin,76.0
Dion  Csikortos,65.0
Jiaian  Flanders,70.0
Bryce Glasper,64.0
Maxwell Law,69.0
Carlos Llivicura,67.0
Sebastian Rodriguez,68.0
Daniel Gonzalez Verdejo,68.0
Stephen Daly,69.0
Evan Wandersee,68.0
Logan Ramos,70.0
Stephen De Stefani,73.0
Jack Nugent,77.0
Jeferson Avila-Macancela,72.0
Akashdeep Singh,76.0
Alex Bridgelall,72.0
Rudy Janga,76.0
Kyle Barriffe-Johnson,79.0
Steven Ajazi,76.0
Wen Cheung,69.0
Ari Osmanaj,75.0
Andrew Ubanwa,75.0
Naoki Tani,67.0
Jack Centeno,73.0
Gorton Law,70.0
Juancarlos  Henriquez,72.0
Zachary Yao,72.0
Ryan Oommen,69.0
Michael Higgins,76.0
Defeng Han,73.0
Carlos Rodriguez,76.0
Haoxin Hu,77.0
Vukasin  Bozic,71.0
Argjend Osmanaj,74.0
Jonathan  Liao,65.0
Jerome Galam,68.0
Akil Vaughn,79.0
Aleksandr  Howard,76.0
Carlos Abreu,68.0
Sebastiann Perez,72.0
Sheikh Islam,69.0
Jubril Okunlola,68.0
Louis Caiola,72.0
Kelcity Blacky,71.0
Austin Romeo,69.0
Isaac Akindipe,74.0
David Lou,69.0
Raymond Yu,68.0
Andrew Estiverne,72.0
Nick Yao,69.0
Ted Kim,72.0
Cooper Moran,73.0
Jose Mendoza,70.0
Hunter Moran,74.0
Jimmy Chang,78.0
Niro Osborne,73.0
Sergio Aguado,70.0
Onyeka Onaga,75.0
Matisse Lee-Maarek,78.0
Alex Winter,72.0
Jaylen Campbell,73.0
Marvin Mondesir,70.0
Glenver Stuart,73.0
Ahmed  Elwadany,70.0
Ahmed Algendy,73.0
Kalell Tajeddin,73.0
Abubakar Khamis,68.0
Stanley  Sanchez,68.0
Abimael Deliska,73.0
Austinson Cooke,77.0
Cameron Gray,72.0
Peter  Zurawski,78.0
Keau Thompson,76.0
Xander Pink,67.0
Mason Connor,73.0
Griffin Satterfield,79.0
Trevor Phillips,78.0
Vanis Buckholz,78.0
Machado Lucas,78.0
Mateusz Karpow,72.21311475409836
Marty Canavan,77.0
Ryan Bartz,77.0
Eyal Rawitz,78.0
Dyer Ball,78.0
Nathan Goh,76.0
Wil McPhillips,76.0
Aaron Hernandez,75.0
Tinaishe Ndavazocheva,78.0
Braydon Savitski-Lynde,72.21311475409836
Patrick Rogers,79.0
Lukas Pytlak,74.0
Will  Patterson,82.0
Rodney Wallace,78.0
