Names,Height
Crystal Saw,64.0
Yisneily  Morales,61.0
Sarah Sellami,68.0
Marie Claire Hurtado,67.664
Garyana Altidor,61.0
Julianna Carrasco,68.0
Cheyenne Gray-Taitt,64.0
Andrea Richino,68.0
Teonnie Blake,63.0
Kamya Hayes,64.0
Keyanna Irving,67.0
Silvia Chen,69.0
Jalena Baker,65.0
Cherub Autar,66.0
Jachimma Onwuamaegbu,72.0
Kai-Marie Sammy,69.0
Shamonie Miller,62.0
Jasmine  Vega,61.0
Samantha Panameno,65.0
Andrea  Wright,68.0
Madison Plaza,67.0
Lissenny Florentino,66.0
Nadaysia Nivar,67.0
Alicia Gumbs,65.0
Devina  Luckhoo,63.0
Tyler Dazey,67.0
Samara Correa,60.0
Genesis Sigaran,62.0
Jeliver Jimenez,65.0
Mariali Sosa,64.0
Natalie Mora,64.0
Nicole Rodriguez,70.0
Nyla  Rivera,63.0
Sahara Ramos,64.0
Rashel Torres,61.0
Marisabel Pujols,64.0
Justine Pomales,63.0
Virginia Carrasco,67.0
Nicole  Rosas,64.0
Brianna Rodriguez,62.0
Maynee De Los Santos,64.0
Emely Nunez,66.0
Kiana Castillo,70.0
Breanna Kimbrough,69.0
Zouera Sofiani,65.0
Nicole Santos,66.0
Aichata Kone,70.0
Nayely Rodriguez,66.0
Nahara Lopez,66.0
Despina Boudouris,65.0
Alexis Deodat,70.0
Anjeline Arnakis,71.0
Christina Franco,69.0
Elena Leung,68.0
Alicia Cervera,71.0
Lindsay Osterhoudt,73.0
Elizabeth Cerullo,68.0
Jayna Marie Lorenzo,68.0
Kendall Conrad,71.0
Sarah Munn,63.0
Isabella Anzalone,68.0
Ally Thees,66.0
Marah  Zenner ,65.0
Rylie Harris,65.0
Jordan Jerome,70.0
Savannah  Davis,75.0
Dariana  Luna,64.0
Sophia Kruczko,75.0
Lauren Posa,73.0
Abigail LeVines,71.0
Kayli Cleaver,76.0
Mikayla  Kline,70.0
Jada Suguturaga,73.0
Madelyn Eden,74.0
Jazmyn Wheeler,69.0
Abigail Breeden,71.0
Janvier Buggs,66.0
Amelia Fitzpatrick,69.0
Ella Wicker,65.0
Brooke Singleton,64.0
Meredith Dixon,73.0
Colby Stempkowski,72.0
Bennett Daniels,71.0
Cameron Fenner,68.0
Audrey Simmons,73.0
Jordan Norwood,70.0
Molly Boyd,75.0
Jordan Berglin,70.0
Edie Lamoreaux,66.0
Cecilia Robert,67.0
Maeson Peterson,73.0
Lainee Mack,68.0
Cassidy Bloom,69.0
Gracie Fleming,71.0
Rory Schuler,65.0
Mallory Barash,70.0
Brooke Wroten,69.0
Kari Mercer,66.0
Gyöngyvér  Araczki,70.0
Anna Sommer,73.0
Sadie McKay,69.0
Sophie Meredith,68.0
Kaitlyn  Rodriguez,70.0
Alisha Pitt,72.0
Tucker Patterson,70.0
Sophia Hoffman,68.0
Lexi Rogers,69.0
Alli Bishop,72.0
Emily Lammers,69.0
Cat Bodick,72.0
Izabella De Lima,61.0
Kaitlyn Houck,63.0
Kelly Gaston,67.0
Natalie Acevedo,68.0
Salma Villa  Morales,62.0
Reagan  Irons,69.0
Madison Eckley,65.0
Emma Kelly,69.0
Evie Jane Rembold,70.0
Ellen Cunningham,69.0
Maggie Rafferty,67.0
Sabrina Valentin,68.0
Sherian Horner,71.0
Alyssa Daley,75.0
Myka Costanzo,64.0
Kyleigh McDermit,71.0
